City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Mount Isa,AU,-20.7333,139.5,80.37,54,98,14.97,overcast clouds
262,Muros,ES,42.7762,-9.0603,53.24,94,49,3.29,scattered clouds
263,Sur,OM,22.5667,59.5289,71.64,74,1,2.3,clear sky
264,Berlevag,NO,70.8578,29.0864,21.61,89,54,27.04,broken clouds
265,Rio Gallegos,AR,-51.6226,-69.2181,60.85,21,0,28.77,clear sky
266,Quelimane,MZ,-17.8786,36.8883,80.55,83,0,14.0,clear sky
267,Saint-Leu,RE,-21.15,55.2833,76.03,78,28,1.79,scattered clouds
268,College,US,64.8569,-147.8028,11.23,77,75,3.44,broken clouds
269,Bengkulu,ID,-3.8004,102.2655,76.14,86,100,5.68,overcast clouds
270,Luanda,AO,-8.8368,13.2343,80.6,83,75,9.22,light rain
271,Shirokiy,RU,49.758,129.523,-1.89,98,72,4.36,broken clouds
272,Severo-Kurilsk,RU,50.6789,156.125,32.18,80,95,17.05,overcast clouds
273,San Cristobal,VE,7.7669,-72.225,75.38,79,66,1.99,broken clouds
274,Kangaatsiaq,GL,68.3065,-53.4641,28.27,92,100,19.28,snow
275,Tuatapere,NZ,-46.1333,167.6833,56.82,49,82,7.47,broken clouds
276,Amahai,ID,-3.3333,128.9167,83.57,74,97,3.06,overcast clouds
277,Ligayan,PH,4.6533,119.4706,82.09,73,81,5.41,broken clouds
278,Vanimo,PG,-2.6741,141.3028,86.41,66,76,2.75,broken clouds
279,Baherden,TM,38.4362,57.4316,48.15,49,67,5.01,broken clouds
280,Socorro,US,31.6546,-106.3033,70.79,20,0,8.41,clear sky
281,Nicoya,CR,10.1483,-85.452,81.95,76,22,9.53,few clouds
282,Santa Fe,AR,-31.6333,-60.7,79.02,58,87,4.0,light rain
283,Norman Wells,CA,65.282,-126.8329,-29.16,68,75,4.61,broken clouds
284,Dovers,VC,12.8833,-61.1833,81.52,73,79,22.75,broken clouds
285,Ambulu,ID,-8.345,113.6058,75.83,95,100,1.61,light rain
286,Nome,US,64.5011,-165.4064,32.07,81,90,28.77,mist
287,Moshenskoye,RU,58.5102,34.5911,-0.56,91,84,6.91,broken clouds
288,Mobaye,CF,4.319,21.1786,72.36,88,99,2.75,overcast clouds
289,Ilulissat,GL,69.2167,-51.1,23.49,69,99,14.74,overcast clouds
290,Rundu,NA,-17.9333,19.7667,66.79,85,89,7.52,overcast clouds
291,Benguela,AO,-12.5763,13.4055,76.37,83,56,4.12,broken clouds
292,Gadu,PH,17.6292,121.6105,71.11,86,82,3.6,broken clouds
293,Ajaccio,FR,42.0,8.9167,44.65,93,0,6.91,clear sky
294,Snyder,US,32.7179,-100.9176,73.74,25,1,10.36,clear sky
295,Dryden,CA,49.7833,-92.7503,21.49,86,90,9.22,light snow
296,Karangasem,ID,-8.45,115.6167,76.14,85,100,8.08,moderate rain
297,San Luis,AR,-33.295,-66.3356,66.58,75,60,13.8,broken clouds
298,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,20.71,scattered clouds
299,Te Anau,NZ,-45.4167,167.7167,50.72,67,80,5.77,broken clouds
300,Kavaratti,IN,10.5669,72.642,80.6,71,79,12.33,broken clouds
301,Bowen,AU,-20.0167,148.2333,84.42,60,28,16.42,scattered clouds
302,Sept-Iles,CA,50.2001,-66.3821,12.72,62,20,4.61,few clouds
303,Rexburg,US,43.826,-111.7897,39.42,35,88,7.47,overcast clouds
304,Zhangye,CN,38.9342,100.4517,29.68,37,3,5.17,clear sky
305,Vaitape,PF,-16.5167,-151.75,81.39,66,57,16.75,broken clouds
306,Olafsvik,IS,64.8945,-23.7142,42.17,87,100,16.75,overcast clouds
307,Saint-Augustin,CA,51.226,-58.6502,21.61,64,99,9.37,overcast clouds
308,Labuhan,ID,-6.8844,112.2051,79.41,78,100,6.8,overcast clouds
