City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Sidi Ali,DZ,2021-12-04 00:48:18,36.0998,0.4206,49.03,72,0,6.89
232,Usinsk,RU,2021-12-04 00:48:18,65.9939,57.5281,-15.93,89,10,8.66
233,Olafsvik,IS,2021-12-04 00:48:19,64.8945,-23.7142,35.47,64,81,3.38
234,Calella,ES,2021-12-04 00:48:19,41.618,2.6678,51.93,71,61,6.29
235,Namibe,AO,2021-12-04 00:48:20,-15.1961,12.1522,71.08,70,78,8.21
236,Guarapari,BR,2021-12-04 00:48:20,-20.6667,-40.4975,71.49,89,100,2.8
237,Hays,US,2021-12-04 00:48:20,30.0502,-98.0336,70.92,83,0,1.01
238,Annau,TM,2021-12-04 00:48:21,37.8876,58.516,40.5,93,90,4.61
239,Cuamba,MZ,2021-12-04 00:48:21,-14.8031,36.5372,74.79,62,0,5.79
240,Forio,IT,2021-12-04 00:48:22,40.7342,13.8646,53.82,64,3,15.23
241,Yago,MX,2021-12-04 00:48:22,21.8333,-105.0667,73.78,83,0,1.48
242,Haines Junction,CA,2021-12-04 00:44:17,60.7522,-137.5108,-4.05,65,100,4.61
243,Artyshta,RU,2021-12-04 00:48:23,54.1222,86.2909,28.8,86,75,14.5
244,Fenoarivo,MG,2021-12-04 00:48:23,-18.933,47.4354,64.47,82,75,5.75
245,Pisco,PE,2021-12-04 00:43:30,-13.7,-76.2167,66.25,82,0,18.41
246,Hami,CN,2021-12-04 00:48:23,42.8,93.45,23.32,61,14,2.48
247,Leningradskiy,RU,2021-12-04 00:48:24,69.3833,178.4167,5.67,83,100,15.41
248,Basco,PH,2021-12-04 00:48:24,20.4487,121.9702,72.16,62,100,27.65
249,Bathsheba,BB,2021-12-04 00:45:24,13.2167,-59.5167,81.21,78,40,13.8
250,Paracuru,BR,2021-12-04 00:48:13,-3.41,-39.0306,82.42,80,100,10.78
251,Ponta Delgada,PT,2021-12-04 00:46:41,37.7333,-25.6667,59.5,88,40,3.44
252,Hualmay,PE,2021-12-04 00:48:25,-11.0964,-77.6139,66.49,86,100,11.12
253,Saskylakh,RU,2021-12-04 00:48:25,71.9167,114.0833,-17.72,96,100,13.51
254,Mehamn,NO,2021-12-04 00:48:25,71.0357,27.8492,19.65,76,27,8.72
255,Caravelas,BR,2021-12-04 00:48:26,-17.7125,-39.2481,73.0,92,29,3.58
256,Nome,US,2021-12-04 00:45:43,64.5011,-165.4064,8.67,78,90,26.46
257,Khandyga,RU,2021-12-04 00:48:27,62.6667,135.6,-42.34,96,28,3.78
258,Kieta,PG,2021-12-04 00:45:35,-6.2167,155.6333,84.83,72,92,2.95
259,Sao Filipe,CV,2021-12-04 00:48:27,14.8961,-24.4956,75.22,69,100,8.55
260,Nouadhibou,MR,2021-12-04 00:48:28,20.931,-17.0347,64.38,77,0,17.27
261,Tezpur,IN,2021-12-04 00:48:28,26.6333,92.8,62.94,84,64,4.81
262,Torbay,CA,2021-12-04 00:45:33,47.6666,-52.7314,46.27,86,75,28.77
263,Ostrovnoy,RU,2021-12-04 00:48:29,68.0531,39.5131,20.05,76,100,2.75
264,Ridgecrest,US,2021-12-04 00:44:56,35.6225,-117.6709,71.46,11,20,3.44
265,Kahului,US,2021-12-04 00:45:10,20.8947,-156.47,73.85,95,90,18.41
266,Kodiak,US,2021-12-04 00:48:29,57.79,-152.4072,20.71,68,1,0.0
267,Adrar,MR,2021-12-04 00:48:30,20.5022,-10.0711,64.76,22,100,10.31
268,Shizuishan,CN,2021-12-04 00:49:30,39.2333,106.7694,31.6,22,100,2.21
269,Brae,GB,2021-12-04 00:49:31,60.3964,-1.353,42.71,74,100,7.14
270,Komsomolskiy,UZ,2021-12-04 00:49:31,40.4272,71.7189,43.52,45,100,2.3
271,Dingle,PH,2021-12-04 00:49:31,10.9995,122.6711,79.56,80,75,13.96
272,Kovdor,RU,2021-12-04 00:49:32,67.5662,30.4758,-0.45,100,100,1.81
273,Lagoa,PT,2021-12-04 00:49:32,39.05,-27.9833,64.06,85,100,10.09
274,Belmonte,BR,2021-12-04 00:49:33,-15.8631,-38.8828,73.9,88,100,6.26
275,Yaan,NG,2021-12-04 00:49:33,7.3833,8.5667,76.6,25,14,3.33
276,Port Hawkesbury,CA,2021-12-04 00:49:33,45.6169,-61.3485,33.58,90,90,13.0
277,Klaksvik,FO,2021-12-04 00:49:34,62.2266,-6.589,34.72,68,94,7.02
278,Saint-Augustin,CA,2021-12-04 00:49:34,51.226,-58.6502,28.6,88,100,32.17
279,Zurrieq,MT,2021-12-04 00:49:34,35.8311,14.4742,51.96,82,75,18.41
280,Quatre Cocos,MU,2021-12-04 00:49:35,-20.2078,57.7625,77.09,70,28,9.17
281,Te Anau,NZ,2021-12-04 00:49:35,-45.4167,167.7167,59.02,97,100,2.04
